Album / EP,Title,Composer / Artist,Theme/s,Key,Tempo,Planning Center Link,Demo Track,Mix Track Folder,Lyrics,Audio URL,Scripture Reference(s),Arranger(s),Song Note
Hosanna to the King,Hosanna to the King,Dino Poblete,"Praise, Kingship, Call to Worship",D,139,https://services.planningcenteronline.com/songs/28834688/arrangements/33665269,https://drive.google.com/file/d/1qe30KqzXUHK-2EK46V7yAeor3LOObKVO/view?usp=drive_link,https://drive.google.com/drive/u/1/folders/14wTMV4G_DuscbEAgl4rOHx34JQTodrl9,"Verse:
Today is the day
That the Lord has made
And I will rejoice
Yes, I will rejoice
Today is the day
That the Lord has made
And I will be glad
Yes, I will be glad

Pre-Chorus:
And I will lift my voice
For You have rescued me
The cross has set me free
You have won the victory

Chorus:
For You are King of kings
For You are Lord of Lords
You reign in majesty
Forever we adore
You are my strength, my song
You are the Savior of my soul
Hosanna to the King
Forever I will sing
You reign

Bridge:
We give thanks to the Lord
For He is good, He is good
We give thanks to the Lord
His love endures forever and ever

Tag:
His love endures forever and ever

Final Chorus:
For You are King of kings
For You are Lord of Lords
You reign in majesty
Forever we adore
You are my strength, my song
You are the Savior of my soul
Hosanna to the King
Hosanna to the King
Hosanna to the King
Hosanna to the King
You reign",https://res.cloudinary.com/bfhcf/video/upload/v1784546400/music/01_-_Hosanna_to_the_King.mp3,Psalm 118; Revelation 5,"Pascual Juan Olivares, Paolo Rivera, Jonathan Velasco, Dino Poblete","Christ is the King who has rescued His people and won the victory. His steadfast love endures forever, and our gladness rises from the salvation He has given."
Hosanna to the King,Because You're Good,Dino Poblete,"God’s Goodness, Thanksgiving, Joy",G,146,https://services.planningcenteronline.com/songs/29232699/arrangements/34151197,https://drive.google.com/file/d/1FZk_q-z8p9iB8T1hMUjqSMYFJyBlI8r-/view?usp=drive_link,https://drive.google.com/drive/u/1/folders/1VgSIT78ZWbf-7FKa1FHELJZP7iz6XoQY,"Verse 1:
My Savior, my King
Mighty Deliverer
Mighty Deliverer
No rival, no throne
Greater and higher
We lift You higher

Pre-Chorus:
You are worthy of all honor
You are worthy of all praise
Forever victorious
Jesus, we sing

Chorus:
You are good, Your love endures
I will lift Your name up high
To You alone, the God Most High
I will shout, You are good
You have removed my guilt, my shame
I will never be the same
Because You are good

Verse 2:
You gave Your life, I am free
I belong to You
I belong to You
Your promises are true
I believe in You
My hope is in You

Pre-Chorus:
You are worthy of all honor
You are worthy of all praise
Forever victorious
Jesus, we sing

Chorus:
You are good, Your love endures
I will lift Your name up high
To You alone, the God Most High
I will shout, You are good
You have removed my guilt, my shame
I will never be the same
Because You are good

Final Pre-Chorus:
You are worthy of all honor
You are worthy of all praise
Forever victorious
Jesus, we sing, sing, sing
You are worthy of all honor
You are worthy of all praise
Forever victorious
Jesus, we sing",https://res.cloudinary.com/bfhcf/video/upload/v1784548667/music/02_-_Because_You_re_Good.mp3,Psalm 100; Psalm 136,"Pascual Juan Olivares, Paolo Rivera, Jonathan Velasco, Dino Poblete","God’s goodness is not just something we know, but something we have received in Christ. Sing with gratitude, because His grace has removed our shame and made us His own."
Hosanna to the King,All Things Together,"Dino Poblete, Zeane Pitoy","Sovereignty, Christ-Centered Creation, Sustaining Power",Eb,75,https://services.planningcenteronline.com/songs/29239471/arrangements/34159674,https://drive.google.com/file/d/1yie-tHNf6GmUQ7m4W_BK_LlXqZMMlhqg/view?usp=drive_link,https://drive.google.com/drive/u/1/folders/1aEvHKR695p-ojjK1BsHLKwrH64fGsMzy,"Verse 1:
You spoke and light came bursting in
The heavens born at Your command
Creation stands to testify
There is no one like our God

Verse 2:
In every rise and every fall
Your name remains above it all
From age to age Your throne is sure
There is no one like our God

Chorus:
You hold all things together
Your kingdom reigns forever
All glory, praise, and power
From You, through You, for You

Verse 3:
No fear can stand against Your word
No trial breaks the world You formed
The cross reveals Your perfect might
There is no one like our God

Chorus:
You hold all things together
Your kingdom reigns forever
All glory, praise, and power
From You, through You, for You

Final Chorus:
You hold all things together
Your kingdom reigns forever
All glory, praise, and power
From You, through You, for You
From You, through You, for You

Bridge:
All praise belongs to You
All praise belongs to You
All praise belongs to You
All praise belongs to You",,Colossians 1:15-17,"Pascual Juan Olivares, Paolo Rivera, Jonathan Velasco, Dino Poblete","When life feels uncertain, fix your eyes on Christ, who holds all things together. Let this song lead us to trust His sovereign hand and give Him all glory, praise, and power."
Hosanna to the King,Worthy,"Lito Cornejo, Vangie Sy","Worthiness of Christ, Worship, Adoration",F#,87,https://services.planningcenteronline.com/songs/29883174/arrangements/34959522,https://drive.google.com/file/d/1nc3zY0IRdtMT-l9mgCb13HG4IRYtEDUc/view?usp=drive_link,https://drive.google.com/drive/u/1/folders/19sNHirktUMBdQ3BFWFdI77Djj13K7953,"Verse 1:
Through Your breath, You formed the heavens above
In Your wisdom, You made the earth below
So we bow down and kneel before Your throne
As we lift our voice and hearts to You alone

Pre-Chorus:
From the rising of the sun
To the final trumpet sound
Both the earth and skies resound with Hallelujah

Chorus:
You are worthy, worthy
Worthy and mighty
You are worthy, worthy
You are worthy to be praised
You are holy, holy
Holy and mighty
You are holy, holy
And worthy to be praised

Verse 2:
You restored our hearts and made us whole
Your sacrifice has healed our broken soul
So we proclaim the love of Christ our Lord
As we sing to You with hearts in one accord

Pre-Chorus:
From the rising of the sun
To the final trumpet sound
Both the earth and skies resound with Hallelujah

Chorus:
You are worthy, worthy
Worthy and mighty
You are worthy, worthy
You are worthy to be praised
You are holy, holy
Holy and mighty
You are holy, holy
And worthy to be praised

Tag:
And worthy to be praised
And worthy to be praised",https://res.cloudinary.com/bfhcf/video/upload/v1784548954/music/04_-_Worthy.mp3,Revelation 4-5,"Pascual Juan Olivares, Paolo Rivera, Joel Delos Reyes, Dino Poblete","Picture the throne room of heaven where all creation declares the worth of Christ. Let every line become our offering of reverence to the One who is holy, mighty, and worthy to be praised."
Hosanna to the King,The Resurrected Christ,Miriam Grace Delos Reyes,"Resurrection, Victory, Redemption",E,74,https://services.planningcenteronline.com/songs/29883178/arrangements/34959529,https://drive.google.com/file/d/1Ing1B0YS3IOdAlxTZZO0vkHdRIhRi2tp/view?usp=drive_link,https://drive.google.com/drive/u/1/folders/1LMWxDyNng-AinxhAxcm6wlF0j5C-G8UI,"Verse 1:
At the break of dawn that Sunday morning
Faithful women went there to anoint Him
The ground, it shook
An angel of the Lord appeared

Verse 2:
Do not be afraid, the angel told them
Come and see the place where He was lying
He is not here
Why look for Him among the dead?

Refrain:
Rejoice! Hallelujah!

Chorus:
Just as He said
He rose from the dead
Stone rolled away
Jesus conquered the grave
His Word is true
He is risen still
This is proof of His victory
His promise fulfilled
He is alive!
He is alive!
All hail the Resurrected Christ!

Verse 3:
Satan thought he won that day on Calvary
Death, where is your sting?
O grave, your victory?
Christ has won!
Triumphant o'er the enemy

Verse 4:
Praise and honor to our risen Savior
Glorious, You reign on high forever
Thank You, Lord!
Your love no none can sever

Refrain:
Rejoice! Hallelujah!

Chorus:
Just as He said
He rose from the dead
Stone rolled away
Jesus conquered the grave
His Word is true
He is risen still
This is proof of His victory
His promise fulfilled
He is alive!
He is alive!
All hail the Resurrected Christ!

Bridge 1:
Help will always come
Because He lives
New mercies every morn
Because He lives
Do not have to fight alone
Because He lives
The Resurrected Christ
Salvation of my life

Bridge 2:
Strength for all my days
Because He lives
Light upon my way
Because He lives
He never will forsake
Because He lives
The Resurrected Christ
Salvation of my life

Bridge 3:
He is seated on the throne
Because He lives
I shall overcome
Because He lives
And soon He will bring me home
Because He lives
The Resurrected Christ
Salvation of my life

Refrain:
Rejoice! Hallelujah!

Final Chorus:
Just as He said
He rose from the dead
Stone rolled away
Jesus conquered the grave
His Word is true
He is risen still
This is proof of His victory
His promise fulfilled
He is alive!
He is alive!
He is alive!
All hail the Resurrected Christ!",https://res.cloudinary.com/bfhcf/video/upload/v1784548666/music/05_-_The_Resurrected_Christ.mp3,Matthew 28; 1 Corinthians 15,"Pascual Juan Olivares, Paolo Rivera, Joel Delos Reyes, Dino Poblete","Jesus is alive, and His resurrection changes everything. Because He lives, we do not fight alone, we do not grieve without hope, and we look forward to the day He brings us home."
Bread From Heaven,Captured,"Dino Poblete, Zeane Pitoy","Grace, Transformation, Surrender",E,120,https://services.planningcenteronline.com/songs/29232445/arrangements/34150859,https://drive.google.com/file/d/1yLL3u5-LdYmnL5LGzGI2PlzvNjRXxH2a/view?usp=drive_link,,"Verse 1:
Sing a new song to the Lord, our God
Sing a new song to the Lord, the Holy One
Sing a new song to the Lord, our Light
Sing a new song to the Lord
Prechorus:
We call on to you, O Lord
Lifting our voices in one accord
Chorus:
I will praise You forevermore
You are worthy, worthy of glory
You are the truth, my life, my way
O Lord, You capture me each day
Instrumental:
Verse 2:
Shout for joy to the Lord, our Rock
Shout for joy to the Lord, Almighty
Shout for joy to the Lord, our King
Shout for joy to the Lord
Prechorus:
We call on to you, O Lord
Lifting our voices in one accord
Chorus 2:
I will praise You forevermore
You are worthy, worthy of glory
You are the truth, my life, my way
O Lord, You capture me each day",,,,
Bread From Heaven,I Will Cling to You,"Dandee Adapon, Charie Javier","Dependence, Faith, Perseverance",D,80,https://services.planningcenteronline.com/songs/30098043/arrangements/35225596,https://drive.google.com/file/d/1i9ukCH85zwcHwBLFpLMIUTGlCqmJitls/view?usp=drive_link,,"Chorus 1:
                       D
You are my peace, my comfort
       A/C#
My refuge and strength
      Em
In times of trouble
        Bm         A
My portion immense
        D
My Lord, my Savior
         A/C#
My Shepherd that’s true
          Em                             G
When fear surrounds me
          A          D-Dsus-D
I will cling to You

Verse 1
                     G              A           D
When I feel weak and hope is gone
                          G         A       Bm
I cling to Your Word to overcome
                        C9                    G/B 
You promise to be with me, Emmanuel,
        Em                        A-A7sus
Your love and grace abounds 

Chorus 2:
                       D
You are my peace, my comfort
        A/C#
My refuge and strength
     Em
In times of trouble
         Bm          A
My fortress defense
        D
My Lord, my Savior
        A/C#
My Shepherd that’s true
           Em                           G
When fear surrounds me
         A          D-Dsus-D
I will cling to You

Verse 2
                                  G          A            D
When shadows run loose across the land
                        G               A        Bm
I cling to You Lord, Your Mighty Hand
                         C9                          G/B
Your promises hold me true, Your Word my lamp
     Em                      A-A7sus
A guide to light my path

(Chorus 1)

Ending:
           Em                           G
When fear surrounds me
          A         D
I will cling to you
G       A         D
I will cling to you
G       A         D-Dsus-D
I will cling to you",,,,
Bread From Heaven,Under Your Wings,"Lito Cornejo, Dino & Grachie","Refuge, Protection, Trust",D,68,https://services.planningcenteronline.com/songs/30097893/arrangements/35225408,https://drive.google.com/file/d/1F1LlEcyyPIY0MggBSgfv5VZ_p4gETv2Y/view?usp=drive_link,,"Verse 1:
In Your presence, my joy is complete
That secret place is where I find my Peace
Lord, You’re my fortress, and my hiding place
Thank you for Your endless grace.
Chorus:
Under Your wings, I will not be shaken
In Your mighty hand, I will not be forsaken
And so I sing my praises to You
Jesus Christ, You made me new
Under Your wings, I will not be shaken
In Your mighty hand, I will not be forsaken.
And so I sing my praises to You
Jesus Christ, I worship You.
Interlude (instrumental)
Verse 2:
Moment by moment your grace is true
In the break of dawn, Your mercies are new
When evening falls, I’ll rest in Your holy presence
My God, I will sing You praise",,,,
Bread From Heaven,Safe Refuge,"Dino Poblete, Grachie Poblete","Security in God, Rest, Peace",Eb,74,https://services.planningcenteronline.com/songs/15855796/arrangements/18034174,https://drive.google.com/file/d/1783ThVe0uiDkG1u5er7Epu9C5SszzWn1/view?usp=drive_link,,"Verse 1
You broke the night,
You are the Light
I will walk by faith
and not by sight
Pre-chorus 1:
Though the earth gives way
and the mountains fall
I will not fear, You're Lord over all!
Chorus:
Jesus, You are my safe refuge
Whom shall I fear when I’m with You?
Jesus, I put my trust in You
Only You, I will follow
Verse 2
You are my peace
When war draws near
I will be still
And know You're here
Prechorus 2:
Though battles may rage and trials come
I will not fear, You have overcome!
(Bridge)
Lord, be my strength when I am weak
You are the Fortress that I seek
Be exalted O, God
On all trials
Despite all fears
Over all the earth",,,,
Bread From Heaven,Bread From Heaven,"Lito Cornejo, Charie Javier","Provision, Dependence on Christ, Spiritual Nourishment",Eb,80,https://services.planningcenteronline.com/songs/30098033/arrangements/35225583,https://drive.google.com/file/d/1LAT8p5XbhLkIKfNeI9-hTaZATj98PMBb/view?usp=drive_link,,"Chorus:
Bread from heaven, gift divine
Jesus Christ, in love You died
Living Bread, our salvation
Risen Lord, our firm foundation.
Verse 1:
You reached down from Your heav’nly throne
Jesus Christ, You made us Your own
You’re the Bread that satisfies
You’re The Way, the Truth, and The Life.
Verse 2:
We have wandered far from grace
Chased false hopes, but You stayed the same
Still You loved us, sought our lives
You’re The Way that leads to light
Verse 3
We give thanks for Your lavish grace
You have set us to run this race
Bread from heaven strength and light
You sustain us through our plight
Chorus 2:
Bread from heaven, gift divine
Jesus Christ, in love You died
Living Bread, our salvation
Risen Lord, our firm foundation.
Bread from heaven, gift divine
Jesus Christ, in love You died
Living Bread, our salvation
Risen Lord, our firm foundation.",,,,
